120,40,0,1759,1928
160,40,0,1489,2059
120,80,0,1979,2054
160,80,0,1702,2204
40,120,0,2687,1920
80,120,0,2474,2052
120,120,0,2233,2201
160,120,0,1956,2374
40,160,0,2979,2048
80,160,0,2771,2201
120,160,0,2530,2374
160,160,0,2251,2575
40,0,120,1975,804
40,0,160,1961,489
80,0,120,1736,859
80,0,160,1712,527
120,0,40,1533,1540
120,0,80,1500,1243
120,0,120,1465,918
120,0,160,1424,567
160,0,40,1252,1644
160,0,80,1207,1330
160,0,120,1158,986
160,0,160,1105,613
0,120,40,2889,1515
0,160,40,3187,1611
0,120,80,2911,1210
0,160,80,3224,1285
0,40,120,2402,795
0,80,120,2651,834
0,120,120,2935,880
0,160,120,3263,933
0,40,160,2404,478
0,80,160,2663,497
0,120,160,2960,519
0,160,160,3304,547
