8,4,0,1250,2280
12,4,0,1019,2419
4,8,0,1710,2270
8,8,0,1491,2407
12,8,0,1252,2556
16,8,0,994,2716
4,12,0,1963,2400
8,12,0,1742,2546
12,12,0,1506,2706
16,12,0,1250,2878
8,16,0,2014,2695
12,16,0,1779,2868
4,0,8,1233,1498
4,0,12,1221,1201
8,0,4,1015,1889
8,0,8,995,1604
8,0,12,973,1301
8,0,16,952,975
12,0,4,763,2013
12,0,8,736,1720
12,0,12,704,1410
12,0,16,672,1076
16,0,8,458,1848
16,0,12,416,1527
0,8,4,1918,1868
0,12,4,2176,1982
0,4,8,1684,1489
0,8,8,1929,1587
0,12,8,2194,1690
0,16,8,2478,1804
0,4,12,1685,1192
0,8,12,1939,1283
0,12,12,2213,1380
0,16,12,2510,1487
0,8,16,1948,960
0,12,16,2236,1049
